date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
03-02-2021,California,State,Omicron,0,0,0.142857143,0.021729683
03-02-2021,California,State,Alpha,29,2.67,16,2.433724468
03-02-2021,California,State,Epsilon,808,74.33,463.4285714,70.49109083
03-02-2021,California,State,Beta,1,0.09,0.428571429,0.065189048
03-02-2021,California,State,Total,1087,100,657.4285714,100
03-02-2021,California,State,Gamma,0,0,0.714285714,0.108648414
03-02-2021,California,State,Lambda,0,0,0,0
03-02-2021,California,State,Other,249,22.91,176.4285714,26.83615819
03-02-2021,California,State,Delta,0,0,0.285714286,0.043459365
03-02-2021,California,State,Mu,0,0,0,0
04-02-2021,California,State,Beta,0,0,0.142857143,0.023468669
04-02-2021,California,State,Epsilon,405,76.85,445.4285714,73.17531096
04-02-2021,California,State,Other,107,20.3,148.1428571,24.33701009
04-02-2021,California,State,Omicron,0,0,0.142857143,0.023468669
04-02-2021,California,State,Mu,0,0,0,0
04-02-2021,California,State,Gamma,0,0,0.285714286,0.046937339
04-02-2021,California,State,Alpha,15,2.85,14.42857143,2.370335602
04-02-2021,California,State,Total,527,100,608.7142857,100
04-02-2021,California,State,Delta,0,0,0.142857143,0.023468669
04-02-2021,California,State,Lambda,0,0,0,0
05-02-2021,California,State,Alpha,23,8.07,16.28571429,2.629151292
05-02-2021,California,State,Epsilon,187,65.61,451.5714286,72.90129151
05-02-2021,California,State,Lambda,0,0,0,0
05-02-2021,California,State,Other,75,26.32,151.2857143,24.42343173
05-02-2021,California,State,Delta,0,0,0,0
05-02-2021,California,State,Total,285,100,619.4285714,100
05-02-2021,California,State,Omicron,0,0,0.142857143,0.023062731
05-02-2021,California,State,Gamma,0,0,0,0
05-02-2021,California,State,Mu,0,0,0,0
05-02-2021,California,State,Beta,0,0,0.142857143,0.023062731
06-02-2021,California,State,Lambda,0,0,0,0
06-02-2021,California,State,Total,385,100,659,100
06-02-2021,California,State,Other,99,25.71,161.5714286,24.51766746
06-02-2021,California,State,Alpha,15,3.9,18.14285714,2.753089096
06-02-2021,California,State,Beta,0,0,0.142857143,0.021677867
06-02-2021,California,State,Epsilon,271,70.39,479,72.68588771
06-02-2021,California,State,Delta,0,0,0,0
06-02-2021,California,State,Gamma,0,0,0,0
06-02-2021,California,State,Omicron,0,0,0.142857143,0.021677867
06-02-2021,California,State,Mu,0,0,0,0
07-02-2021,California,State,Mu,0,0,0,0
07-02-2021,California,State,Omicron,0,0,0,0
07-02-2021,California,State,Beta,0,0,0.142857143,0.021781747
07-02-2021,California,State,Lambda,0,0,0,0
07-02-2021,California,State,Gamma,0,0,0,0
07-02-2021,California,State,Epsilon,169,77.88,481.1428571,73.36092355
07-02-2021,California,State,Total,217,100,655.8571429,100
07-02-2021,California,State,Delta,1,0.46,0.142857143,0.021781747
